CS_SQUARE_ID_ALL,ITE_LAND_CLASS_2007,ITE_LAND_CLASS_NUM_2007,COUNTRY,COUNTY,ENV_ZONE,*ITE Land Classes: https://doi.org/10.5285/5f0605e4-aa2a-48ab-b47c-bf5510823e8f
HYBIGV,17w1,17,WAL,Clwyd,Uplands (Wales),*note inclusion of a survey square in this list does not necessarily indicate data is available in every survey year
CRIEFB,5w,41,WAL,Clwyd,Lowlands (Wales),
HYILAM,11e,11,ENG,Derby Unitary Authority,Easterly lowlands (England),
YVWYWC,11e,11,ENG,Derbyshire,Easterly lowlands (England),
TBXJJD,12e,12,ENG,Nottinghamshire,Easterly lowlands (England),
ZTXKYJ,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
QZUDIB,8e,8,ENG,Lincolnshire,Westerly lowlands (England),
BIHYSL,3e,3,ENG,Norfolk,Easterly lowlands (England),
TRVAVH,4e,4,ENG,Norfolk,Easterly lowlands (England),
MGWQSP,17w1,17,WAL,Gwynedd,Uplands (Wales),
JHPOHH,5w,41,WAL,Clwyd,Lowlands (Wales),
KBLGPE,18w,45,WAL,Clwyd,Uplands (Wales),
KXYDPJ,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
OADEXO,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
NNTSJE,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
KUSXUZ,4e,4,ENG,Lincolnshire,Easterly lowlands (England),
JABGJY,17w3,19,WAL,Gwynedd,Uplands (Wales),
NERQMG,17w3,19,WAL,Clwyd,Uplands (Wales),
KNLBPI,15w,44,WAL,Clwyd,Lowlands (Wales),
UISYES,13e,13,ENG,Cheshire,Westerly lowlands (England),
WIMSDK,15e,14,ENG,Cheshire,Westerly lowlands (England),
PBKYNV,13e,13,ENG,Cheshire,Westerly lowlands (England),
EVVEDK,10e,10,ENG,Cheshire,Westerly lowlands (England),
DTXAJY,17e,16,ENG,Derbyshire,Uplands (England),
HVNJKY,17e,16,ENG,Derbyshire,Uplands (England),
XHCFPY,12e,12,ENG,Nottinghamshire,Easterly lowlands (England),
KNVXKN,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
IJFDGL,6w,42,WAL,Gwynedd,Lowlands (Wales),
UGOANK,6w,42,WAL,Gwynedd,Lowlands (Wales),
GCDFIO,7w,43,WAL,Gwynedd,Lowlands (Wales),
RTQIEV,5w,41,WAL,Clwyd,Lowlands (Wales),
MOJFPS,5w,41,WAL,Clwyd,Lowlands (Wales),
VJVJJJ,13e,13,ENG,Merseyside,Westerly lowlands (England),
VUJWHD,13e,13,ENG,Cheshire,Westerly lowlands (England),
ZCCYJT,18e,20,ENG,Derbyshire,Uplands (England),
MPESMQ,10e,10,ENG,South Yorkshire,Westerly lowlands (England),
JDKZQA,11e,11,ENG,Nottinghamshire,Easterly lowlands (England),
DOASNU,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
TJPYWU,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
GQYNWE,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
FSSIYV,13e,13,ENG,Greater Manchester,Westerly lowlands (England),
VCQDRX,18e,20,ENG,South Yorkshire,Uplands (England),
NBXWRU,10e,10,ENG,South Yorkshire,Westerly lowlands (England),
VEQMNO,10e,10,ENG,South Yorkshire,Westerly lowlands (England),
OSGDGJ,9e,9,ENG,North Lincolnshire Unitary Authority,Easterly lowlands (England),
VIPXTV,9e,9,ENG,Lincolnshire,Easterly lowlands (England),
OOLGBN,16e,15,ENG,Greater Manchester,Westerly lowlands (England),
NQYHWK,17e,16,ENG,West Yorkshire,Uplands (England),
SURVKO,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
YTLYLE,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
JQKGAL,9e,9,ENG,North Lincolnshire Unitary Authority,Easterly lowlands (England),
SCQIDT,9e,9,ENG,North East Lincolnshire Unitary Authority,Easterly lowlands (England),
HHNXYQ,18e,20,ENG,Lancashire,Uplands (England),
VZNMFT,19e,21,ENG,West Yorkshire,Uplands (England),
XTIHBS,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
KYFWMC,10e,10,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
HGBYWJ,7e,7,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
UCUYAE,16e,15,ENG,Lancashire,Westerly lowlands (England),
HCRUMQ,17e,16,ENG,Lancashire,Uplands (England),
IDAVFQ,9e,9,ENG,East Riding of Yorkshire Unitary Authority,Easterly lowlands (England),
VGSKFD,16e,15,ENG,Lancashire,Westerly lowlands (England),
EFAJGX,18e,20,ENG,Lancashire,Uplands (England),
COCEEQ,19e,21,ENG,Lancashire,Uplands (England),
BRBWRZ,19e,21,ENG,North Yorkshire,Uplands (England),
DDNTIC,19e,21,ENG,North Yorkshire,Uplands (England),
LERYBB,10e,10,ENG,North Yorkshire,Westerly lowlands (England),
MZHVIH,16e,15,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
HKUCRW,16e,15,ENG,Cumbria,Westerly lowlands (England),
WRBZTH,16e,15,ENG,Lancashire,Westerly lowlands (England),
PPOHHI,19e,21,ENG,North Yorkshire,Uplands (England),
FOXCNS,23e,23,ENG,North Yorkshire,Uplands (England),
MIINDP,19e,21,ENG,North Yorkshire,Uplands (England),
ZPNKAM,10e,10,ENG,North Yorkshire,Westerly lowlands (England),
XDBRQR,9e,9,ENG,North Yorkshire,Easterly lowlands (England),
PARJZV,18e,20,ENG,Cumbria,Uplands (England),
GTSBAQ,16e,15,ENG,Cumbria,Westerly lowlands (England),
KZHPIL,16e,15,ENG,Cumbria,Westerly lowlands (England),
WBZDEZ,19e,21,ENG,Cumbria,Uplands (England),
QIYHKC,10e,10,ENG,North Yorkshire,Westerly lowlands (England),
EIKMDF,10e,10,ENG,North Yorkshire,Westerly lowlands (England),
NFQGQH,9e,9,ENG,North Yorkshire,Easterly lowlands (England),
PDNUZO,17e,16,ENG,North Yorkshire,Uplands (England),
ETBBOE,7e,7,ENG,North Yorkshire,Westerly lowlands (England),
GKPUAI,13e,13,ENG,Cumbria,Westerly lowlands (England),
YUFBVU,18e,20,ENG,Cumbria,Uplands (England),
DUYIHQ,19e,21,ENG,Cumbria,Uplands (England),
YPTIQX,22e,22,ENG,Durham,Uplands (England),
PDMOYE,19e,21,ENG,Durham,Uplands (England),
ICYTYP,10e,10,ENG,Durham,Westerly lowlands (England),
DEYVMW,13e,13,ENG,Redcar and Cleveland Unitary Authority,Westerly lowlands (England),
DZIAED,13e,13,ENG,North Yorkshire,Westerly lowlands (England),
UEZICR,7s,25,SCO,Dumfries & Galloway,Lowlands (Scotland),
FLEZYA,8e,8,ENG,Cumbria,Westerly lowlands (England),
IPLMTS,16e,15,ENG,Cumbria,Westerly lowlands (England),
FOXRQT,22e,22,ENG,Cumbria,Uplands (England),
ZZVEZE,19e,21,ENG,Cumbria,Uplands (England),
JGYXEU,23e,23,ENG,Cumbria,Uplands (England),
NZWGIA,22e,22,ENG,Durham,Uplands (England),
TKHLXB,9e,9,ENG,Hartlepool Unitary Authority,Easterly lowlands (England),
JCDUAM,7s,25,SCO,Dumfries & Galloway,Lowlands (Scotland),
AKOMXO,13e,13,ENG,Cumbria,Westerly lowlands (England),
XQPYLJ,18e,20,ENG,Cumbria,Uplands (England),
QHDWPL,22e,22,ENG,Cumbria,Uplands (England),
SZZFDN,22e,22,ENG,Durham,Uplands (England),
UUNMAK,16e,15,ENG,Durham,Westerly lowlands (England),
UEEHNU,7e,7,ENG,Durham,Westerly lowlands (England),
QQYDJR,27s,35,SCO,Dumfries & Galloway,Lowlands (Scotland),
TSIBRE,13s,26,SCO,Dumfries & Galloway,Lowlands (Scotland),
PKSLHM,26s,34,SCO,Dumfries & Galloway,Lowlands (Scotland),
MNNPBO,27s,35,SCO,Dumfries & Galloway,Lowlands (Scotland),
CEXQGA,25e,24,ENG,Cumbria,Easterly lowlands (England),
YBYTMW,25e,24,ENG,Northumberland,Easterly lowlands (England),
XTDXNP,25e,24,ENG,Northumberland,Easterly lowlands (England),
TWVNHH,26s,34,SCO,South Ayrshire,Lowlands (Scotland),
ZVXGSY,25s,33,SCO,Dumfries & Galloway,Lowlands (Scotland),
FDGMIG,22e,22,ENG,Cumbria,Uplands (England),
WJHOZP,22e,22,ENG,Northumberland,Uplands (England),
UEVYHS,16e,15,ENG,Northumberland,Westerly lowlands (England),
OIXPSH,7s,25,SCO,South Ayrshire,Lowlands (Scotland),
ZDMFRI,22s,30,SCO,Dumfries & Galloway,True uplands (Scotland),
DWPADG,28s,36,SCO,Dumfries & Galloway,Intermediate uplands and Islands (Scotland),
OORRGP,22s,30,SCO,Scottish Borders,True uplands (Scotland),
AUMEYK,22e,22,ENG,Northumberland,Uplands (England),
UYZJMJ,25e,24,ENG,Northumberland,Easterly lowlands (England),
HIZWNL,19e,21,ENG,Northumberland,Uplands (England),
MJIHQZ,25e,24,ENG,Northumberland,Easterly lowlands (England),
FITMPO,13s,26,SCO,South Ayrshire,Lowlands (Scotland),
CIOSPC,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
XDEYXT,7e,7,ENG,Devon,Westerly lowlands (England),
ZBPEQL,7e,7,ENG,Devon,Westerly lowlands (England),
YDSEWL,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
EYAJMO,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
PVFUKI,6e,6,ENG,Plymouth Unitary Authority,Westerly lowlands (England),
YDGWZL,6e,6,ENG,Devon,Westerly lowlands (England),
RXBGEW,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
UAFKOG,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
LVGKVX,17e,16,ENG,Devon,Uplands (England),
FMQFWX,7e,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
NVVBQQ,17e,16,ENG,Devon,Uplands (England),
ZNFZXA,17e,16,ENG,Devon,Uplands (England),
KMOUQH,8e,8,ENG,Devon,Westerly lowlands (England),
KKWKFZ,7e,7,ENG,Devon,Westerly lowlands (England),
PSVKQN,1e,1,ENG,Dorset,Westerly lowlands (England),
MZKVCB,7e,7,ENG,Isle of Wight Unitary Authority,Westerly lowlands (England),
UHWAME,1e,1,ENG,Devon,Westerly lowlands (England),
WFCADS,1e,1,ENG,Dorset,Westerly lowlands (England),
ABOBUL,1e,1,ENG,Dorset,Westerly lowlands (England),
KRLBBY,2e,2,ENG,Dorset,Easterly lowlands (England),
ZMRGTC,1e,1,ENG,Hampshire,Westerly lowlands (England),
QERSLS,8e,8,ENG,Hampshire,Westerly lowlands (England),
NJXLXX,8e,8,ENG,West Sussex,Westerly lowlands (England),
WOSSFN,7e,7,ENG,East Sussex,Westerly lowlands (England),
EMXYKT,6e,6,ENG,Devon,Westerly lowlands (England),
FMAYXW,5e,5,ENG,Devon,Westerly lowlands (England),
MJNWTN,6e,6,ENG,Devon,Westerly lowlands (England),
YTTNGG,6e,6,ENG,Devon,Westerly lowlands (England),
HNKUSP,1e,1,ENG,Somerset,Westerly lowlands (England),
LENLAE,4e,4,ENG,Hampshire,Easterly lowlands (England),
SNIVSZ,2e,2,ENG,Hampshire,Easterly lowlands (England),
UMWECN,2e,2,ENG,West Sussex,Easterly lowlands (England),
PPYLGS,2e,2,ENG,West Sussex,Easterly lowlands (England),
ZLAHSC,2e,2,ENG,West Sussex,Easterly lowlands (England),
TNOEYM,2e,2,ENG,East Sussex,Easterly lowlands (England),
JRQNKY,4e,4,ENG,East Sussex,Easterly lowlands (England),
BSARIT,6e,6,ENG,Devon,Westerly lowlands (England),
MTFPSJ,6e,6,ENG,Devon,Westerly lowlands (England),
TWDIGY,6e,6,ENG,Somerset,Westerly lowlands (England),
HOHUZK,2e,2,ENG,Wiltshire,Easterly lowlands (England),
HLJEQY,2e,2,ENG,Wiltshire,Easterly lowlands (England),
XWEWWK,1e,1,ENG,Wiltshire,Westerly lowlands (England),
GCJEBY,2e,2,ENG,Hampshire,Easterly lowlands (England),
BSIDQZ,2e,2,ENG,Hampshire,Easterly lowlands (England),
BQBGBD,3e,3,ENG,West Sussex,Easterly lowlands (England),
RIGILI,3e,3,ENG,East Sussex,Easterly lowlands (England),
DKPKMO,3e,3,ENG,Kent,Easterly lowlands (England),
OFVZDJ,17e,16,ENG,Devon,Uplands (England),
XIDYRJ,5e,5,ENG,Somerset,Westerly lowlands (England),
HRZNYI,8e,8,ENG,Somerset,Westerly lowlands (England),
SJEJAB,4e,4,ENG,Somerset,Easterly lowlands (England),
NOFKFH,1e,1,ENG,Somerset,Westerly lowlands (England),
SKMZOO,2e,2,ENG,Wiltshire,Easterly lowlands (England),
NUTHQC,2e,2,ENG,Hampshire,Easterly lowlands (England),
HYYEET,3e,3,ENG,Surrey,Easterly lowlands (England),
MJSKRM,3e,3,ENG,Kent,Easterly lowlands (England),
JRZVUS,3e,3,ENG,Kent,Easterly lowlands (England),
VMLMLA,3e,3,ENG,Kent,Easterly lowlands (England),
MZHCNF,5e,5,ENG,Wiltshire,Westerly lowlands (England),
UAYXVX,1e,1,ENG,Hampshire,Westerly lowlands (England),
ZUJTKP,2e,2,ENG,Hampshire,Easterly lowlands (England),
UDKSUO,2e,2,ENG,Surrey,Easterly lowlands (England),
MUABHA,6w,42,WAL,South Glamorgan,Lowlands (Wales),
XRAFAX,5w,41,WAL,South Glamorgan,Lowlands (Wales),
LYVCID,7w,43,WAL,South Glamorgan,Lowlands (Wales),
BZJANF,2e,2,ENG,Wiltshire,Easterly lowlands (England),
PPONYG,2e,2,ENG,West Berkshire Unitary Authority,Easterly lowlands (England),
KPEREP,1e,1,ENG,Greater London,Westerly lowlands (England),
QVZIXI,2e,2,ENG,Kent,Easterly lowlands (England),
DKFVKM,8e,8,ENG,Medway Unitary Authority,Westerly lowlands (England),
YXYWSS,1e,1,ENG,Kent,Westerly lowlands (England),
OXVLRI,8e,8,ENG,Kent,Westerly lowlands (England),
INIEMC,7w,43,WAL,West Glamorgan,Lowlands (Wales),
KLOORS,6w,42,WAL,West Glamorgan,Lowlands (Wales),
UEDLDK,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),
YTAUII,5w,41,WAL,Gwent,Lowlands (Wales),
LAFOCU,5w,41,WAL,Gwent,Lowlands (Wales),
SIATHT,1e,1,ENG,South Gloucestershire Unitary Authority,Westerly lowlands (England),
RSDMVR,2e,2,ENG,Wiltshire,Easterly lowlands (England),
RAGOWO,1e,1,ENG,Oxfordshire,Westerly lowlands (England),
BYSENQ,2e,2,ENG,Oxfordshire,Easterly lowlands (England),
AAVJXT,4e,4,ENG,Thurrock Unitary Authority,Easterly lowlands (England),
WCDRAN,6w,42,WAL,Dyfed,Lowlands (Wales),
JMIFHD,6w,42,WAL,Dyfed,Lowlands (Wales),
GWLOTM,6w,42,WAL,Dyfed,Lowlands (Wales),
TNXJSJ,6w,42,WAL,West Glamorgan,Lowlands (Wales),
EARTZW,5w,41,WAL,West Glamorgan,Lowlands (Wales),
DJNWLT,17w3,19,WAL,Mid Glamorgan,Uplands (Wales),
ZUFRRX,5w,41,WAL,Gwent,Lowlands (Wales),
YLJOFI,11e,11,ENG,Oxfordshire,Easterly lowlands (England),
BXXDRJ,1e,1,ENG,Oxfordshire,Westerly lowlands (England),
USTYVS,2e,2,ENG,Buckinghamshire,Easterly lowlands (England),
KODKGX,3e,3,ENG,Essex,Easterly lowlands (England),
ARCCVB,6w,42,WAL,Dyfed,Lowlands (Wales),
PSQHJU,5w,41,WAL,Dyfed,Lowlands (Wales),
HYJDIV,6w,42,WAL,Dyfed,Lowlands (Wales),
JZISXN,15w,44,WAL,Dyfed,Lowlands (Wales),
CLLBKV,15w,44,WAL,Dyfed,Lowlands (Wales),
JKSKLW,17w3,19,WAL,Dyfed,Uplands (Wales),
UGXHSQ,17w2,18,WAL,Powys,Uplands (Wales),
NLQHFO,17w2,18,WAL,Powys,Uplands (Wales),
RRUXQW,17w2,18,WAL,Gwent,Uplands (Wales),
IUZQOM,5w,41,WAL,Gwent,Lowlands (Wales),
GUBLQO,1e,1,ENG,Gloucestershire,Westerly lowlands (England),
BGLCUJ,11e,11,ENG,Gloucestershire,Easterly lowlands (England),
SUADYK,11e,11,ENG,Oxfordshire,Easterly lowlands (England),
JUAXZV,1e,1,ENG,Buckinghamshire,Westerly lowlands (England),
HCFYIX,4e,4,ENG,Essex,Easterly lowlands (England),
TIFMNB,7w,43,WAL,Dyfed,Lowlands (Wales),
MFKQWC,17w3,19,WAL,Dyfed,Uplands (Wales),
ZJQHWI,6w,42,WAL,Dyfed,Lowlands (Wales),
JVNJJN,18w,45,WAL,Dyfed,Uplands (Wales),
AQUVFY,17w2,18,WAL,Powys,Uplands (Wales),
ZFKNLQ,17w2,18,WAL,Powys,Uplands (Wales),
LVPROI,1e,1,ENG,County of Herefordshire Unitary Authority,Westerly lowlands (England),
LBQNNH,1e,1,ENG,County of Herefordshire Unitary Authority,Westerly lowlands (England),
XOJNJF,11e,11,ENG,Gloucestershire,Easterly lowlands (England),
FNQTOM,11e,11,ENG,Oxfordshire,Easterly lowlands (England),
UHIPLT,11e,11,ENG,Milton Keynes Unitary Authority,Easterly lowlands (England),
NMWCSX,3e,3,ENG,Hertfordshire,Easterly lowlands (England),
ZURCAX,3e,3,ENG,Essex,Easterly lowlands (England),
VLSKJS,3e,3,ENG,Essex,Easterly lowlands (England),
GWTTBV,6w,42,WAL,Dyfed,Lowlands (Wales),
BUITKA,15w,44,WAL,Dyfed,Lowlands (Wales),
HEFLXR,15w,44,WAL,Dyfed,Lowlands (Wales),
EYPCVJ,17w2,18,WAL,Dyfed,Uplands (Wales),
YXYQWV,17w2,18,WAL,Dyfed,Uplands (Wales),
NDGZWZ,17w2,18,WAL,Powys,Uplands (Wales),
GNZLMJ,17w2,18,WAL,Powys,Uplands (Wales),
OBQMPU,1e,1,ENG,County of Herefordshire Unitary Authority,Westerly lowlands (England),
SYFGLR,1e,1,ENG,Worcestershire,Westerly lowlands (England),
VFFKQD,9e,9,ENG,Oxfordshire,Easterly lowlands (England),
YGQIJY,11e,11,ENG,Milton Keynes Unitary Authority,Easterly lowlands (England),
UYRLRX,12e,12,ENG,Bedfordshire,Easterly lowlands (England),
UKRUFP,3e,3,ENG,Suffolk,Easterly lowlands (England),
MGCMFH,3e,3,ENG,Suffolk,Easterly lowlands (England),
IEFNGC,15w,44,WAL,Dyfed,Lowlands (Wales),
FRDJSC,15w,44,WAL,Dyfed,Lowlands (Wales),
RBTFVD,17w2,18,WAL,Powys,Uplands (Wales),
MSZMWM,17w2,18,WAL,Powys,Uplands (Wales),
JGRNAK,17w2,18,WAL,Powys,Uplands (Wales),
HIMIWW,9e,9,ENG,County of Herefordshire Unitary Authority,Easterly lowlands (England),
KQIJOF,1e,1,ENG,Worcestershire,Westerly lowlands (England),
CHQQXO,1e,1,ENG,Worcestershire,Westerly lowlands (England),
KDQIHG,1e,1,ENG,Warwickshire,Westerly lowlands (England),
ZBTLJG,1e,1,ENG,Warwickshire,Westerly lowlands (England),
YYKFOS,9e,9,ENG,Warwickshire,Easterly lowlands (England),
WGFZAS,12e,12,ENG,Cambridgeshire,Easterly lowlands (England),
AXIHWL,3e,3,ENG,Cambridgeshire,Easterly lowlands (England),
RMNIDX,3e,3,ENG,Cambridgeshire,Easterly lowlands (England),
VRPIED,3e,3,ENG,Suffolk,Easterly lowlands (England),
YZQAFJ,3e,3,ENG,Suffolk,Easterly lowlands (England),
WHKFUF,15w,44,WAL,Dyfed,Lowlands (Wales),
WMVFVV,17w2,18,WAL,Dyfed,Uplands (Wales),
QEYKPU,17w2,18,WAL,Powys,Uplands (Wales),
SZHMUG,17e,16,ENG,Shropshire,Uplands (England),
FLWHQO,17e,16,ENG,Shropshire,Uplands (England),
FSZBXT,1e,1,ENG,Shropshire,Westerly lowlands (England),
YBDBIN,1e,1,ENG,Worcestershire,Westerly lowlands (England),
OKZSIO,11e,11,ENG,Warwickshire,Easterly lowlands (England),
EBWPRA,11e,11,ENG,Northamptonshire,Easterly lowlands (England),
HMPTVZ,3e,3,ENG,Cambridgeshire,Easterly lowlands (England),
HEXMHM,3e,3,ENG,Cambridgeshire,Easterly lowlands (England),
WSXUFY,3e,3,ENG,Suffolk,Easterly lowlands (England),
KZRUFR,3e,3,ENG,Suffolk,Easterly lowlands (England),
OVOZHE,3e,3,ENG,Suffolk,Easterly lowlands (England),
FXDGSF,17w3,19,WAL,Dyfed,Uplands (Wales),
IHJGEC,17w2,18,WAL,Powys,Uplands (Wales),
VYDRFG,17w2,18,WAL,Powys,Uplands (Wales),
JKTWQP,15w,44,WAL,Powys,Lowlands (Wales),
TGNTVD,15w,44,WAL,Powys,Lowlands (Wales),
SBZEEU,9e,9,ENG,Shropshire,Easterly lowlands (England),
XZZAGX,9e,9,ENG,West Midlands,Easterly lowlands (England),
XRLEIA,9e,9,ENG,West Midlands,Easterly lowlands (England),
GQWJPM,11e,11,ENG,Northamptonshire,Easterly lowlands (England),
OIBBSC,11e,11,ENG,Northamptonshire,Easterly lowlands (England),
ROACVK,12e,12,ENG,Cambridgeshire,Easterly lowlands (England),
GNVOHN,8e,8,ENG,Cambridgeshire,Westerly lowlands (England),
EWICUJ,4e,4,ENG,Norfolk,Easterly lowlands (England),
AHKTWX,3e,3,ENG,Norfolk,Easterly lowlands (England),
MZWJCL,15w,44,WAL,Gwynedd,Lowlands (Wales),
PAMHOJ,17w3,19,WAL,Powys,Uplands (Wales),
RBWKUY,17w2,18,WAL,Powys,Uplands (Wales),
QYKTYP,5w,41,WAL,Powys,Lowlands (Wales),
QPNACB,10e,10,ENG,Shropshire,Westerly lowlands (England),
HGYGDM,10e,10,ENG,Shropshire,Westerly lowlands (England),
NHQOBM,9e,9,ENG,Leicestershire,Easterly lowlands (England),
NYVXXI,4e,4,ENG,Cambridgeshire,Easterly lowlands (England),
GJPXMP,4e,4,ENG,Norfolk,Easterly lowlands (England),
IRWYUZ,3e,3,ENG,Norfolk,Easterly lowlands (England),
YUGUQF,4e,4,ENG,Norfolk,Easterly lowlands (England),
XZCUFZ,7w,43,WAL,Gwynedd,Lowlands (Wales),
KFACFB,17w3,19,WAL,Gwynedd,Uplands (Wales),
