CS_SQUARE_ID_ALL,ITE_LAND_CLASS_2007,ITE_LAND_CLASS_NUM_2007,COUNTRY,COUNTY,ENV_ZONE,*ITE Land Classes: https://doi.org/10.5285/5f0605e4-aa2a-48ab-b47c-bf5510823e8f
EFZSHR,18w,45,WAL,Gwynedd,Uplands (Wales),
GXZDXP,18w,45,WAL,Powys,Uplands (Wales),
QQXUFX,17w1,17,WAL,Powys,Uplands (Wales),
LIWOTB,15e,14,ENG,Shropshire,Westerly lowlands (England),
HLPOPT,10e,10,ENG,Telford and Wrekin Unitary Authority,Westerly lowlands (England),
GPOWBR,10e,10,ENG,Derbyshire,Westerly lowlands (England),
OPLEPV,10e,10,ENG,Leicestershire,Westerly lowlands (England),
ZWSOED,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
URCWKY,12e,12,ENG,Lincolnshire,Easterly lowlands (England),
BFRWQY,3e,3,ENG,Norfolk,Easterly lowlands (England),
JXGMRG,3e,3,ENG,Norfolk,Easterly lowlands (England),
OZXHSI,4e,4,ENG,Norfolk,Easterly lowlands (England),
XDUEWA,7w,43,WAL,Gwynedd,Lowlands (Wales),
MTBCBQ,6w,42,WAL,Gwynedd,Lowlands (Wales),
BIQGKG,7w,43,WAL,Gwynedd,Lowlands (Wales),
SADWLS,18w,45,WAL,Gwynedd,Uplands (Wales),
FXMRQH,17w1,17,WAL,Gwynedd,Uplands (Wales),
JFYGIL,30s,38,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
ELWJGA,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),
YJTHLC,21s,29,SCO,Highland,True uplands (Scotland),
VIYZXK,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
KVEVJD,29s,37,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
SGZFTP,21s,29,SCO,Highland,True uplands (Scotland),
QYXARR,32s,40,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
YUCTHB,32s,40,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
SUADBS,21s,29,SCO,Highland,True uplands (Scotland),
OVZQKU,21s,29,SCO,Highland,True uplands (Scotland),
OQQSNF,32s,40,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
RLHVZO,29s,37,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
CIPHOQ,32s,40,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
GGCZVE,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
JEPNTE,21s,29,SCO,Highland,True uplands (Scotland),
QVCPLP,30s,38,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
JTEHKQ,32s,40,SCO,Highland,Intermediate uplands and Islands (Scotland),
KUWSSI,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
JBQWJT,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
TZYVRC,31s,39,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
YVEKKQ,31s,39,SCO,Highland,Intermediate uplands and Islands (Scotland),
UTZMGL,31s,39,SCO,Highland,Intermediate uplands and Islands (Scotland),
NGRWGX,31s,39,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),
BJUBLC,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),
SHOJSV,32s,40,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),
GPKWZZ,31s,39,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),
PEVPIP,31s,39,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),
AZFZMV,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
SXXOPZ,32s,40,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
BBIJIG,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
LCLMLO,32s,40,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
NGQBRD,32s,40,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
ZTHUIF,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
YRGEZQ,19e,21,ENG,Cumbria,Uplands (England),
VQJRCD,19e,21,ENG,Cumbria,Uplands (England),
MNGVAE,22e,22,ENG,North Yorkshire,Uplands (England),
ZSQEIY,22e,22,ENG,North Yorkshire,Uplands (England),
ETBVQS,10e,10,ENG,North Yorkshire,Westerly lowlands (England),
VJURQL,19e,21,ENG,North Yorkshire,Uplands (England),
FJXZSU,19e,21,ENG,North Yorkshire,Uplands (England),
JRAEIT,5w,41,WAL,Dyfed,Lowlands (Wales),
OSWDVT,18w,45,WAL,Clwyd,Uplands (Wales),
ZHFXRY,23e,23,ENG,Cumbria,Uplands (England),
HOJUZC,19e,21,ENG,Cumbria,Uplands (England),
LIMFZQ,17w1,17,WAL,Powys,Uplands (Wales),
PFJMJP,5w,41,WAL,Gwent,Lowlands (Wales),
DXSUKB,5w,41,WAL,Gwent,Lowlands (Wales),
KJWXAQ,5w,41,WAL,Gwent,Lowlands (Wales),
JHDFNH,5w,41,WAL,Mid Glamorgan,Lowlands (Wales),
GMZDRN,5w,41,WAL,Mid Glamorgan,Lowlands (Wales),
QDJMQK,5w,41,WAL,Gwynedd,Lowlands (Wales),
OBLHMB,5w,41,WAL,Gwent,Lowlands (Wales),
OXXJAK,5w,41,WAL,Clwyd,Lowlands (Wales),
MXGYRZ,5w,41,WAL,Clwyd,Lowlands (Wales),
ZBYRGE,15w,44,WAL,Gwynedd,Lowlands (Wales),
BQZPSZ,17w1,17,WAL,Gwynedd,Uplands (Wales),
MTHXEE,17w1,17,WAL,Clwyd,Uplands (Wales),
DSZCQV,17w1,17,WAL,Clwyd,Uplands (Wales),
OMUOKF,17w2,18,WAL,Powys,Uplands (Wales),
DETEQU,17w2,18,WAL,Powys,Uplands (Wales),
SIVBDR,17w2,18,WAL,Powys,Uplands (Wales),
USAOZK,17w2,18,WAL,Powys,Uplands (Wales),
VZFXEK,17w2,18,WAL,Powys,Uplands (Wales),
GLYVQA,17w2,18,WAL,Powys,Uplands (Wales),
HZXYKQ,25s,33,SCO,South Ayrshire,Lowlands (Scotland),
SXVOJP,21s,29,SCO,East Ayrshire,True uplands (Scotland),
EAHYYJ,21s,29,SCO,Dumfries & Galloway,True uplands (Scotland),
ZKXWRH,22s,30,SCO,South Lanarkshire,True uplands (Scotland),
QVIAYN,22s,30,SCO,Dumfries & Galloway,True uplands (Scotland),
BBYZZW,27s,35,SCO,Scottish Borders,Lowlands (Scotland),
PFCFRO,27s,35,SCO,Scottish Borders,Lowlands (Scotland),
ZAGVKX,22e,22,ENG,Northumberland,Uplands (England),
BCEQHP,16e,15,ENG,Northumberland,Westerly lowlands (England),
NHJRMP,10e,10,ENG,Northumberland,Westerly lowlands (England),
KXFAEB,7s,25,SCO,Argyll & Bute,Lowlands (Scotland),
ERZTLR,28s,36,SCO,East Ayrshire,Intermediate uplands and Islands (Scotland),
MPVOVJ,23s,31,SCO,Scottish Borders,True uplands (Scotland),
HGUOAH,23e,23,ENG,Northumberland,Uplands (England),
LDEDPH,25e,24,ENG,Northumberland,Easterly lowlands (England),
LCMMWD,16e,15,ENG,Northumberland,Westerly lowlands (England),
DJYEXM,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
YERFOW,7s,25,SCO,North Ayrshire,Lowlands (Scotland),
RVGJUQ,7s,25,SCO,North Ayrshire,Lowlands (Scotland),
YYKNUC,22s,30,SCO,South Lanarkshire,True uplands (Scotland),
WWZSMA,19s,28,SCO,South Lanarkshire,Intermediate uplands and Islands (Scotland),
FIAYXI,22s,30,SCO,Scottish Borders,True uplands (Scotland),
DKUMUJ,27s,35,SCO,Scottish Borders,Lowlands (Scotland),
FAQWDV,27s,35,SCO,Scottish Borders,Lowlands (Scotland),
FAFYWJ,25e,24,ENG,Northumberland,Easterly lowlands (England),
GCFNAZ,13s,26,SCO,Argyll & Bute,Lowlands (Scotland),
MENREM,7s,25,SCO,North Ayrshire,Lowlands (Scotland),
QASSZL,18s,27,SCO,North Ayrshire,Intermediate uplands and Islands (Scotland),
ESYNMZ,27s,35,SCO,North Ayrshire,Lowlands (Scotland),
MEYBKX,25s,33,SCO,East Renfrewshire,Lowlands (Scotland),
RLJGXU,22s,30,SCO,Scottish Borders,True uplands (Scotland),
SQOIDY,19s,28,SCO,Scottish Borders,Intermediate uplands and Islands (Scotland),
BYEGRE,19s,28,SCO,Scottish Borders,Intermediate uplands and Islands (Scotland),
WKTPKP,25s,33,SCO,Scottish Borders,Lowlands (Scotland),
UWPAYK,25e,24,ENG,Northumberland,Easterly lowlands (England),
CTFSTL,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
WEPWXB,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
HWJNVP,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
YJORQV,27s,35,SCO,North Lanarkshire,Lowlands (Scotland),
SEQVXD,27s,35,SCO,"Edinburgh, City of",Lowlands (Scotland),
MRCWBN,19s,28,SCO,East Lothian,Intermediate uplands and Islands (Scotland),
FPVEEB,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
ADHCCF,13s,26,SCO,Argyll & Bute,Lowlands (Scotland),
FBUJKB,26s,34,SCO,Stirling,Lowlands (Scotland),
ZUKDMR,19s,28,SCO,Stirling,Intermediate uplands and Islands (Scotland),
LGDSKO,26s,34,SCO,East Lothian,Lowlands (Scotland),
YMMERA,13s,26,SCO,Argyll & Bute,Lowlands (Scotland),
RYNWUT,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
YFJGHR,26s,34,SCO,Stirling,Lowlands (Scotland),
SZQTHT,19s,28,SCO,Stirling,Intermediate uplands and Islands (Scotland),
GWRSAM,26s,34,SCO,Fife,Lowlands (Scotland),
IGSFRL,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
UBXRLL,24s,32,SCO,Stirling,True uplands (Scotland),
VXSVLY,25s,33,SCO,Perth & Kinross,Lowlands (Scotland),
CKLUFF,26s,34,SCO,Fife,Lowlands (Scotland),
RJYDPB,13s,26,SCO,Argyll & Bute,Lowlands (Scotland),
NHOCBB,24s,32,SCO,Argyll & Bute,True uplands (Scotland),
GNSZNY,24s,32,SCO,Argyll & Bute,True uplands (Scotland),
FKKANQ,21s,29,SCO,Stirling,True uplands (Scotland),
PTHHYT,25s,33,SCO,Perth & Kinross,Lowlands (Scotland),
CNXIPS,26s,34,SCO,Perth & Kinross,Lowlands (Scotland),
SXFQWQ,26s,34,SCO,Fife,Lowlands (Scotland),
NAMISZ,29s,37,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
MWWCVA,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
BLRZDJ,25s,33,SCO,Argyll & Bute,Lowlands (Scotland),
STXVMF,29s,37,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
UFFUSX,24s,32,SCO,Argyll & Bute,True uplands (Scotland),
XHAIJL,24s,32,SCO,Perth & Kinross,True uplands (Scotland),
JDUTQQ,27s,35,SCO,Perth & Kinross,Lowlands (Scotland),
TDZOHS,27s,35,SCO,Angus,Lowlands (Scotland),
HGRQWJ,27s,35,SCO,Angus,Lowlands (Scotland),
BKRDLI,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
VIBTBA,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
QFVTHZ,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),
KFDEHM,24s,32,SCO,Highland,True uplands (Scotland),
VKOMTT,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),
ZLXWKT,24s,32,SCO,Highland,True uplands (Scotland),
XVQXXD,23s,31,SCO,Highland,True uplands (Scotland),
VZJPNX,22s,30,SCO,Perth & Kinross,True uplands (Scotland),
POOOBA,22s,30,SCO,Angus,True uplands (Scotland),
MAWOAV,30s,38,SCO,Highland,Intermediate uplands and Islands (Scotland),
DZKTFU,21s,29,SCO,Highland,True uplands (Scotland),
CTERRY,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),
ZTBJGY,23s,31,SCO,Highland,True uplands (Scotland),
EXSYAA,23s,31,SCO,Perth & Kinross,True uplands (Scotland),
HQKXCG,23s,31,SCO,Angus,True uplands (Scotland),
QOZLLL,23s,31,SCO,Angus,True uplands (Scotland),
VDTMEB,25s,33,SCO,Angus,Lowlands (Scotland),
ZJGHZJ,24s,32,SCO,Highland,True uplands (Scotland),
HAWCOO,24s,32,SCO,Highland,True uplands (Scotland),
XXFYMD,23s,31,SCO,Highland,True uplands (Scotland),
HDPVAL,24s,32,SCO,Highland,True uplands (Scotland),
GXDBED,23s,31,SCO,Aberdeenshire,True uplands (Scotland),
WDGZFA,23s,31,SCO,Aberdeenshire,True uplands (Scotland),
SSAXXL,22s,30,SCO,Aberdeenshire,True uplands (Scotland),
UOLEKX,24s,32,SCO,Highland,True uplands (Scotland),
OBNMHM,23s,31,SCO,Highland,True uplands (Scotland),
UXXKAG,22s,30,SCO,Aberdeenshire,True uplands (Scotland),
JFGJJD,25s,33,SCO,Aberdeenshire,Lowlands (Scotland),
NDDDBT,30s,38,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
KPHKQI,24s,32,SCO,Highland,True uplands (Scotland),
OHLVGM,21s,29,SCO,Highland,True uplands (Scotland),
TBRBZK,21s,29,SCO,Highland,True uplands (Scotland),
MVQGEB,22s,30,SCO,Aberdeenshire,True uplands (Scotland),
GUBASC,25s,33,SCO,Aberdeenshire,Lowlands (Scotland),
VDMHHE,25s,33,SCO,Aberdeenshire,Lowlands (Scotland),
HPLWER,30s,38,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
YCZHUL,30s,38,SCO,Highland,Intermediate uplands and Islands (Scotland),
LXSSXH,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),
OTMPPX,21s,29,SCO,Highland,True uplands (Scotland),
FMFSCG,24s,32,SCO,Highland,True uplands (Scotland),
OJWELS,24s,32,SCO,Highland,True uplands (Scotland),
MSRUTP,22s,30,SCO,Highland,True uplands (Scotland),
KKXZXW,22s,30,SCO,Moray,True uplands (Scotland),
CMBROG,22s,30,SCO,Aberdeenshire,True uplands (Scotland),
XNMVMF,27s,35,SCO,Aberdeenshire,Lowlands (Scotland),
DLHRIK,26s,34,SCO,Aberdeenshire,Lowlands (Scotland),
NPWDRZ,30s,38,SCO,Highland,Intermediate uplands and Islands (Scotland),
CRWYWA,21s,29,SCO,Highland,True uplands (Scotland),
EPDZLB,25s,33,SCO,Highland,Lowlands (Scotland),
AQLJEH,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
EPCXUG,25s,33,SCO,Moray,Lowlands (Scotland),
GAEJTI,25s,33,SCO,Aberdeenshire,Lowlands (Scotland),
GCKECU,26s,34,SCO,Aberdeenshire,Lowlands (Scotland),
KKQPEW,30s,38,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
JNFHMV,30s,38,SCO,Highland,Intermediate uplands and Islands (Scotland),
HHGYVR,21s,29,SCO,Highland,True uplands (Scotland),
HFZBUF,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
IKROEN,21s,29,SCO,Highland,True uplands (Scotland),
VLABYI,25s,33,SCO,Moray,Lowlands (Scotland),
DOCHFG,28s,36,SCO,Moray,Intermediate uplands and Islands (Scotland),
COIKIP,27s,35,SCO,Aberdeenshire,Lowlands (Scotland),
ANHJGW,29s,37,SCO,Eilean Siar,Intermediate uplands and Islands (Scotland),
ZTUIEI,28s,36,SCO,Highland,Intermediate uplands and Islands (Scotland),
SLYVHJ,9e,9,ENG,Shropshire,Easterly lowlands (England),
UZZKAZ,17w1,17,WAL,Gwynedd,Uplands (Wales),
GMFGBH,17w3,19,WAL,Clwyd,Uplands (Wales),
WIVLRO,9e,9,ENG,Nottinghamshire,Easterly lowlands (England),
IOHTXU,9e,9,ENG,South Yorkshire,Easterly lowlands (England),
FBWAHU,18e,20,ENG,Derbyshire,Uplands (England),
VOWCHO,9e,9,ENG,Lincolnshire,Easterly lowlands (England),
EBPSDO,9e,9,ENG,North Lincolnshire Unitary Authority,Easterly lowlands (England),
TAJFPX,9e,9,ENG,East Riding of Yorkshire Unitary Authority,Easterly lowlands (England),
RZPWIO,10e,10,ENG,West Yorkshire,Westerly lowlands (England),
THOXDJ,19e,21,ENG,North Yorkshire,Uplands (England),
CKQTZQ,7e,7,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
DEOWTI,23e,23,ENG,North Yorkshire,Uplands (England),
QTFGFT,19e,21,ENG,Cumbria,Uplands (England),
BHNAKW,7s,25,SCO,Dumfries & Galloway,Lowlands (Scotland),
VOQWLO,13s,26,SCO,Dumfries & Galloway,Lowlands (Scotland),
GNJLSG,19s,28,SCO,Dumfries & Galloway,Intermediate uplands and Islands (Scotland),
AHIACC,26s,34,SCO,Dumfries & Galloway,Lowlands (Scotland),
NZACAP,28s,36,SCO,Dumfries & Galloway,Intermediate uplands and Islands (Scotland),
BCMHCA,7e,7,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
NPPRGB,6e,6,ENG,Devon,Westerly lowlands (England),
USETNA,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
ZWKRMA,6e,6,ENG,Cornwall and Isles of Scilly,Westerly lowlands (England),
FQDMAZ,1e,1,ENG,Hampshire,Westerly lowlands (England),
HKPNTT,1e,1,ENG,Somerset,Westerly lowlands (England),
TAZMMI,6e,6,ENG,Somerset,Westerly lowlands (England),
WKDWFI,5e,5,ENG,North Somerset Unitary Authority,Westerly lowlands (England),
RDSYSP,2e,2,ENG,Wiltshire,Easterly lowlands (England),
JDUKBZ,2e,2,ENG,Surrey,Easterly lowlands (England),
UIZSGP,6w,42,WAL,Mid Glamorgan,Lowlands (Wales),
BXQYQB,2e,2,ENG,Buckinghamshire,Easterly lowlands (England),
NRKWUV,17w2,18,WAL,Mid Glamorgan,Uplands (Wales),
YAVBAP,17w2,18,WAL,Powys,Uplands (Wales),
OSSOAV,3e,3,ENG,Essex,Easterly lowlands (England),
SOXGJY,17e,16,ENG,County of Herefordshire Unitary Authority,Uplands (England),
KMXNYL,3e,3,ENG,Hertfordshire,Easterly lowlands (England),
TSVOCK,9e,9,ENG,County of Herefordshire Unitary Authority,Easterly lowlands (England),
ELMOEX,11e,11,ENG,Bedfordshire,Easterly lowlands (England),
OMJWBQ,17w3,19,WAL,Powys,Uplands (Wales),
VFCIBD,1e,1,ENG,County of Herefordshire Unitary Authority,Westerly lowlands (England),
RKOKSV,17w2,18,WAL,Powys,Uplands (Wales),
SSUYPV,11e,11,ENG,Northamptonshire,Easterly lowlands (England),
MDFNRP,17e,16,ENG,Shropshire,Uplands (England),
IUKPTW,12e,12,ENG,Northamptonshire,Easterly lowlands (England),
JBIYLU,11e,11,ENG,Lincolnshire,Easterly lowlands (England),
ALXYRC,15e,14,ENG,Shropshire,Westerly lowlands (England),
CIHYIY,4e,4,ENG,Lincolnshire,Easterly lowlands (England),
QNUBNN,21s,29,SCO,Highland,True uplands (Scotland),
EJIUFP,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),
FPZGGG,21s,29,SCO,Highland,True uplands (Scotland),
FGGQSX,31s,39,SCO,Orkney Islands,Intermediate uplands and Islands (Scotland),
RZMHKP,31s,39,SCO,Shetland Islands,Intermediate uplands and Islands (Scotland),
HMGNQJ,15e,14,ENG,North Yorkshire,Westerly lowlands (England),
XKNMNN,5w,41,WAL,South Glamorgan,Lowlands (Wales),
SLBSSG,17w2,18,WAL,Powys,Uplands (Wales),
ZWGBOD,22s,30,SCO,Dumfries & Galloway,True uplands (Scotland),
YBYWHW,22s,30,SCO,Northumberland,True uplands (Scotland),
ZFNWOA,25s,33,SCO,Scottish Borders,Lowlands (Scotland),
PNSAFC,26s,34,SCO,East Ayrshire,Lowlands (Scotland),
JKBXAQ,25s,33,SCO,Scottish Borders,Lowlands (Scotland),
XGHBPM,25s,33,SCO,South Lanarkshire,Lowlands (Scotland),
OCGNAL,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
XGOPTX,18s,27,SCO,Scottish Borders,Intermediate uplands and Islands (Scotland),
BRKIBT,28s,36,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
KIZQZD,27s,35,SCO,Perth & Kinross,Lowlands (Scotland),
OVOHHS,13s,26,SCO,Argyll & Bute,Lowlands (Scotland),
SUGYHV,23s,31,SCO,Perth & Kinross,True uplands (Scotland),
GNCHSI,22s,30,SCO,Perth & Kinross,True uplands (Scotland),
UKWMMX,25s,33,SCO,Aberdeenshire,Lowlands (Scotland),
KOQHZQ,26s,34,SCO,Aberdeenshire,Lowlands (Scotland),
CHTONI,23s,31,SCO,Aberdeenshire,True uplands (Scotland),
AKYQNY,21s,29,SCO,Highland,True uplands (Scotland),
YYXKLZ,24s,32,SCO,Highland,True uplands (Scotland),
ZLWHEN,16e,15,ENG,East Riding of Yorkshire Unitary Authority,Westerly lowlands (England),
BOONVD,10e,10,ENG,North Yorkshire,Westerly lowlands (England),
SHKRQL,28s,36,SCO,Dumfries & Galloway,Intermediate uplands and Islands (Scotland),
UIGLFJ,22s,30,SCO,South Ayrshire,True uplands (Scotland),
BVHYKF,22s,30,SCO,Dumfries & Galloway,True uplands (Scotland),
TCCMUI,2e,2,ENG,Surrey,Easterly lowlands (England),
DEJBBK,1e,1,ENG,South Gloucestershire Unitary Authority,Westerly lowlands (England),
LTVPSQ,1e,1,ENG,County of Herefordshire Unitary Authority,Westerly lowlands (England),
TOIPRN,3e,3,ENG,Norfolk,Easterly lowlands (England),
KSIMHY,17w2,18,WAL,Gwynedd,Uplands (Wales),
FTFESP,18s,27,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),
CDHIYE,21s,29,SCO,Argyll & Bute,True uplands (Scotland),
FALEKI,30s,38,SCO,Highland,Intermediate uplands and Islands (Scotland),
