"ValueId","StudyId","ESVD2.0_Biome","ESVD2.0_Biome_Codes","ESVD2.0_Biome_1","ESVD2.0_Biome_2","ESVD2.0_Biome_3","ESVD2.0_Ecozones","ESVD2.0_Ecozone_Codes","ESVD2.0_Ecozone_1","ESVD2.0_Ecozone_2","ESVD2.0_Ecozone_3","ESVD2.0_Ecozone_4","ESVD2.0_Ecosystems","ESVD2.0_Ecosystem_Codes","ESVD2.0_Ecosystem_1","ESVD2.0_Ecosystem_2","Ecosystem Text","ES_Text","TEEB_ES","TEEB_SubES","ES_1","ES_2","ES_3","ES_4","ES_5","ES_6","ES_7","CICES","SEEA","Countries","Country_Codes","Country_Code_1","Country_1","Continent","Scale Of Site","Study Location","Protection Status","Site Area","Site Area Unit","Site Area In Hectares","Site Length","Site Length Unit","Site Length Km","Site Condition","Ecosystem Condition","Latitude","Longitude","Valuation Methods","Valued Change","Original Value","Currency","Value Year","Spatial Unit","Temporal Unit","Present Value Year","Present Value Discount Rate","Beneficiary Unit","Number Of Beneficiaries","Type Of Beneficiary","Int$ Per Hectare Per Year","Authors","Title","Reference","Year_Pub","Notes","Secondary Data Sources","Reviewed","inclExcl"
"11410006","1141","Intensive land use; Rivers and lakes","13; 4","Intensive land use"," Rivers and lakes","","Sown pastures and fields; Freshwater lakes","13.2; 4.2","Sown pastures and fields"," Freshwater lakes","","","","","","","Summer (highland) pastures represent the largest share of pasture land in the country as well as the region. Son-Kol is freshwater lake. The basin of Son-Kol lake is highland pasture of national importance.","Pasture and fodder (forage) for livestock, Fish, Water (drinking), Carbon sequestration, Recreational and tourism, Cultural significance and sense of identity, Aesthetic value, Educational","3; 1; 2; 8; 19; 22; 18","34; 11; 21; 81; 191; 192; 222; 181","Raw materials"," Food"," Water"," Climate regulation"," Opportunities for recreation and tourism"," Information for cognitive development"," Aesthetic information","1.1.1.3; 1.1.6.1; 4.2.1.1; 2.2.6.1; 3.1.2.4; 3.1.2.2","Grazed biomass provisioning services; Wild fish and other natural aquatic biomass provisioning services; Water supply; Global climate regulation services; Recreation-related services; Education, scientific and research services; Visual amenity services","Kyrgyz Republic","KGZ","KGZ","Kyrgyz Republic","Asia","Local","Son-Kol Lake highland pastures","No protection","103300","ha","103300","","","","","Intermediate","41.912452","75.189179","MP; TC","Net present value (NPV) of additional net benefi ts compared to business as usual scenario. High pasture yields and favourable weather conditions (Alternative 1) - including carbon storage","19200000","United States Dollar","2015","Total area","present value","10","0.1","total","","Local populations - four municipalities: Ak Talaa, Kochkor, Naryn and Jumgal.","33.293","Quillérou, E., Thomas, R.J., Guchgeldiyev, O. , Ettling, S., Etter, H., & Stewart, N.","Economics of Land Degradation (ELD) Initiative: Broadening options for improved economic sustainability in Central Asia","Quillérou, E., Thomas, R.J., Guchgeldiyev, O. , Ettling, S., Etter, H., & Stewart, N. (2016). Economics of Land Degradation (ELD) Initiative: Broadening options for improved economic sustainability in Central Asia. Synthesis report. Report for the ELD Initiative from the Dryland Systems Program of CGIAR c/o ICARDA, Amman, Jordan. Available from www.eld-initiative.org","2016","ELD Data 2022","","Yes",""
"11410007","1141","Intensive land use; Rivers and lakes","13; 4","Intensive land use"," Rivers and lakes","","Sown pastures and fields; Freshwater lakes","13.2; 4.2","Sown pastures and fields"," Freshwater lakes","","","","","","","Summer (highland) pastures represent the largest share of pasture land in the country as well as the region. Son-Kol is freshwater lake. The basin of Son-Kol lake is highland pasture of national importance.","Pasture and fodder (forage) for livestock, Fish, Water (drinking), Carbon sequestration, Recreational and tourism, Cultural significance and sense of identity, Aesthetic value, Educational","3; 1; 2; 8; 19; 22; 18","34; 11; 21; 81; 191; 192; 222; 181","Raw materials"," Food"," Water"," Climate regulation"," Opportunities for recreation and tourism"," Information for cognitive development"," Aesthetic information","1.1.1.3; 1.1.6.1; 4.2.1.1; 2.2.6.1; 3.1.2.4; 3.1.2.2","Grazed biomass provisioning services; Wild fish and other natural aquatic biomass provisioning services; Water supply; Global climate regulation services; Recreation-related services; Education, scientific and research services; Visual amenity services","Kyrgyz Republic","KGZ","KGZ","Kyrgyz Republic","Asia","Local","Son-Kol Lake highland pastures","No protection","103300","ha","103300","","","","","Intermediate","41.912452","75.189179","MP; TC","Net present value (NPV) of additional net benefi ts compared to business as usual scenario. Moderate pasture yields and unfavourable weather conditions (Alternative 2) - including carbon storage","12200000","United States Dollar","2015","Total area","present value","10","0.1","total","","Local populations - four municipalities: Ak Talaa, Kochkor, Naryn and Jumgal.","21.1549","Quillérou, E., Thomas, R.J., Guchgeldiyev, O. , Ettling, S., Etter, H., & Stewart, N.","Economics of Land Degradation (ELD) Initiative: Broadening options for improved economic sustainability in Central Asia","Quillérou, E., Thomas, R.J., Guchgeldiyev, O. , Ettling, S., Etter, H., & Stewart, N. (2016). Economics of Land Degradation (ELD) Initiative: Broadening options for improved economic sustainability in Central Asia. Synthesis report. Report for the ELD Initiative from the Dryland Systems Program of CGIAR c/o ICARDA, Amman, Jordan. Available from www.eld-initiative.org","2016","ELD Data 2022","","Yes",""
"10360007","1036","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Small permanent freshwater lakes","4.2.2","Small permanent freshwater lakes","","","The freshwater accessible to the people of Beijing mainly includes surface water, groundwater, and transit water. Only use surface and transit water","2","22","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Beijing","","25493","ha","25493","","","","Rapid urbanization and climate change contribute to wetland loss and degradation in Beijing","Highly degraded (or intensively managed)","39.906667","116.3975","MP","water resource fee (Pw = 1.26 RMB/m3),","271000000","China Yuan Renminbi","2014","total area","year","","","total","","residents","2774.6473","Zhang et al","Economic values and dominant providers of key ecosystem services of   wetlands in Beijing, China","Zhang et al. 2017. Economic values and dominant providers of key ecosystem services of   wetlands in Beijing, China. Ecological indicators.","2017","Study Site Comments: Indication: to reverse the downward spiral of wetland degradation;","","Yes","Included"
"9230034","923","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Large permanent freshwater lakes","4.2.1","Large permanent freshwater lakes","","The Qianjiangyuan national park is located in Kaihua County, the junction of Zhejiang, Anhui, and Jiangxi (29?100–29?260 N; 118?030–118?210 E); it is the source of the Qiantang River, the largest river in Zhejiang Province. It has a total area of 252 km2 , accounting for 11.27% of the total area of Kaihua. The core protection, ecological conservation, and recreation areas are 72.31 km2 , 134.59 km2 , and 8.14 km2 , respectively. The traditional utilization area is 36.96 km2 , involving four towns (Suzhuang, Changhong, Hetian, and Qixi), 19 administrative villages, 72 natural villages, and a population of 9744 people [9]. Qianjiangyuan National Park is in the subtropical monsoon climate zone and exhibits four distinct seasons, abundant precipitation, moderate climate, long frost-free periods, and complex terrain, which constitute a rich and diverse microclimate environment. It has a total annual rainfall of 1963 mm, an average annual temperature of 16.2 ?C, a frost-free period of 252 days, and annual average sunshine hours of 1334.1 h [10]. Within the boundaries of the park are Gutianshan National Nature Reserve, Qianjiangyuan National Forest Park, and Qianjiangyuan provincial-level scenic resort. The forest coverage is 81.7% which is relatively high. There are 2230 plant and animal species, and among them are 34 animals under national key protection including black muntjacs (Muntiacus crinifrons), white-necked pheasants (Syrmaticus ellioti) and Asian black bears (Ursus thibet-anus); 32 rare and endangered plant species including Chinese Emmenopterys (Emmen-opterys henryi), Hybrid Banana Shrub (Michelia skinneriana), and Chinese Stewartia (Stewartia sinensis).","Water supply","2","21","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Qianjiangyuan National Park","Protected","","","","","","","","Well-functioning (or extensively managed)","29.390431","118.211033","MP","Value of freshwater supplied by Qianjiangyuan National Park (as calculated for 2018)","210000","China Yuan Renminbi","2005","total area","year","","","total","","residents, water utilities","","Zhao et al.","Assessment of Ecosystem Services Value in a National Park Pilot.","Zhao, X., He, Y., Yu, C., Xu, D., & Zou, W. (2019). Assessment of Ecosystem Services Value in a National Park Pilot. Sustainability, 11(23), 6609.","2019","Value equals with the quantity of water supply multiplied by the market price of water. The wetland in Qianjiangyuan national park is the source of freshwater, so S(t) is the water supply of the Qianjiangyuan national park wetland. /// Wetland total area is not mentioned. Could not be retrieved from secondary sources)","For coordinates: https://geohack.toolforge.org/geohack.php?pagename=Qianjiangyuan_National_Forest_Park&params=29_23_25.55_N_118_12_39.72_E_type:landmark_region:CN-33","Yes","Excluded"
"9230024","923","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Large permanent freshwater lakes","4.2.1","Large permanent freshwater lakes","","The Qianjiangyuan national park is located in Kaihua County, the junction of Zhejiang, Anhui, and Jiangxi (29?100–29?260 N; 118?030–118?210 E); it is the source of the Qiantang River, the largest river in Zhejiang Province. It has a total area of 252 km2 , accounting for 11.27% of the total area of Kaihua. The core protection, ecological conservation, and recreation areas are 72.31 km2 , 134.59 km2 , and 8.14 km2 , respectively. The traditional utilization area is 36.96 km2 , involving four towns (Suzhuang, Changhong, Hetian, and Qixi), 19 administrative villages, 72 natural villages, and a population of 9744 people [9]. Qianjiangyuan National Park is in the subtropical monsoon climate zone and exhibits four distinct seasons, abundant precipitation, moderate climate, long frost-free periods, and complex terrain, which constitute a rich and diverse microclimate environment. It has a total annual rainfall of 1963 mm, an average annual temperature of 16.2 ?C, a frost-free period of 252 days, and annual average sunshine hours of 1334.1 h [10]. Within the boundaries of the park are Gutianshan National Nature Reserve, Qianjiangyuan National Forest Park, and Qianjiangyuan provincial-level scenic resort. The forest coverage is 81.7% which is relatively high. There are 2230 plant and animal species, and among them are 34 animals under national key protection including black muntjacs (Muntiacus crinifrons), white-necked pheasants (Syrmaticus ellioti) and Asian black bears (Ursus thibet-anus); 32 rare and endangered plant species including Chinese Emmenopterys (Emmen-opterys henryi), Hybrid Banana Shrub (Michelia skinneriana), and Chinese Stewartia (Stewartia sinensis).","Water supply","2","21","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Qianjiangyuan National Park","Protected","","","","","","","","Well-functioning (or extensively managed)","29.390431","118.211033","MP","Value of freshwater supplied by Qianjiangyuan National Park (as calculated for 2018)","360000","China Yuan Renminbi","2010","total area","year","","","total","","residents, water utilities","","Zhao et al.","Assessment of Ecosystem Services Value in a National Park Pilot.","Zhao, X., He, Y., Yu, C., Xu, D., & Zou, W. (2019). Assessment of Ecosystem Services Value in a National Park Pilot. Sustainability, 11(23), 6609.","2019","Value equals with the quantity of water supply multiplied by the market price of water. The wetland in Qianjiangyuan national park is the source of freshwater, so S(t) is the water supply of the Qianjiangyuan national park wetland. /// Wetland total area is not mentioned. Could not be retrieved from secondary sources)","For coordinates: https://geohack.toolforge.org/geohack.php?pagename=Qianjiangyuan_National_Forest_Park&params=29_23_25.55_N_118_12_39.72_E_type:landmark_region:CN-33","Yes","Excluded"
"9230004","923","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Large permanent freshwater lakes","4.2.1","Large permanent freshwater lakes","","The Qianjiangyuan national park is located in Kaihua County, the junction of Zhejiang, Anhui, and Jiangxi (29?100–29?260 N; 118?030–118?210 E); it is the source of the Qiantang River, the largest river in Zhejiang Province. It has a total area of 252 km2 , accounting for 11.27% of the total area of Kaihua. The core protection, ecological conservation, and recreation areas are 72.31 km2 , 134.59 km2 , and 8.14 km2 , respectively. The traditional utilization area is 36.96 km2 , involving four towns (Suzhuang, Changhong, Hetian, and Qixi), 19 administrative villages, 72 natural villages, and a population of 9744 people [9]. Qianjiangyuan National Park is in the subtropical monsoon climate zone and exhibits four distinct seasons, abundant precipitation, moderate climate, long frost-free periods, and complex terrain, which constitute a rich and diverse microclimate environment. It has a total annual rainfall of 1963 mm, an average annual temperature of 16.2 ?C, a frost-free period of 252 days, and annual average sunshine hours of 1334.1 h [10]. Within the boundaries of the park are Gutianshan National Nature Reserve, Qianjiangyuan National Forest Park, and Qianjiangyuan provincial-level scenic resort. The forest coverage is 81.7% which is relatively high. There are 2230 plant and animal species, and among them are 34 animals under national key protection including black muntjacs (Muntiacus crinifrons), white-necked pheasants (Syrmaticus ellioti) and Asian black bears (Ursus thibet-anus); 32 rare and endangered plant species including Chinese Emmenopterys (Emmen-opterys henryi), Hybrid Banana Shrub (Michelia skinneriana), and Chinese Stewartia (Stewartia sinensis).","Water supply","2","21","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Qianjiangyuan National Park","Protected","","","","","","","","Well-functioning (or extensively managed)","29.390431","118.211033","MP","Value of freshwater supplied by Qianjiangyuan National Park (as calculated for 2018)","860000","China Yuan Renminbi","2018","total area","year","","","total","","residents, water utilities","","Zhao et al.","Assessment of Ecosystem Services Value in a National Park Pilot.","Zhao, X., He, Y., Yu, C., Xu, D., & Zou, W. (2019). Assessment of Ecosystem Services Value in a National Park Pilot. Sustainability, 11(23), 6609.","2019","Value equals with the quantity of water supply multiplied by the market price of water. The wetland in Qianjiangyuan national park is the source of freshwater, so S(t) is the water supply of the Qianjiangyuan national park wetland. /// Wetland total area is not mentioned. Could not be retrieved from secondary sources)","For coordinates: https://geohack.toolforge.org/geohack.php?pagename=Qianjiangyuan_National_Forest_Park&params=29_23_25.55_N_118_12_39.72_E_type:landmark_region:CN-33","Yes","Excluded"
"9230014","923","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Large permanent freshwater lakes","4.2.1","Large permanent freshwater lakes","","The Qianjiangyuan national park is located in Kaihua County, the junction of Zhejiang, Anhui, and Jiangxi (29?100–29?260 N; 118?030–118?210 E); it is the source of the Qiantang River, the largest river in Zhejiang Province. It has a total area of 252 km2 , accounting for 11.27% of the total area of Kaihua. The core protection, ecological conservation, and recreation areas are 72.31 km2 , 134.59 km2 , and 8.14 km2 , respectively. The traditional utilization area is 36.96 km2 , involving four towns (Suzhuang, Changhong, Hetian, and Qixi), 19 administrative villages, 72 natural villages, and a population of 9744 people [9]. Qianjiangyuan National Park is in the subtropical monsoon climate zone and exhibits four distinct seasons, abundant precipitation, moderate climate, long frost-free periods, and complex terrain, which constitute a rich and diverse microclimate environment. It has a total annual rainfall of 1963 mm, an average annual temperature of 16.2 ?C, a frost-free period of 252 days, and annual average sunshine hours of 1334.1 h [10]. Within the boundaries of the park are Gutianshan National Nature Reserve, Qianjiangyuan National Forest Park, and Qianjiangyuan provincial-level scenic resort. The forest coverage is 81.7% which is relatively high. There are 2230 plant and animal species, and among them are 34 animals under national key protection including black muntjacs (Muntiacus crinifrons), white-necked pheasants (Syrmaticus ellioti) and Asian black bears (Ursus thibet-anus); 32 rare and endangered plant species including Chinese Emmenopterys (Emmen-opterys henryi), Hybrid Banana Shrub (Michelia skinneriana), and Chinese Stewartia (Stewartia sinensis).","Water supply","2","21","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Qianjiangyuan National Park","Protected","","","","","","","","Well-functioning (or extensively managed)","29.390431","118.211033","MP","Value of freshwater supplied by Qianjiangyuan National Park (as calculated for 2018)","600000","China Yuan Renminbi","2015","total area","year","","","total","","residents, water utilities","","Zhao et al.","Assessment of Ecosystem Services Value in a National Park Pilot.","Zhao, X., He, Y., Yu, C., Xu, D., & Zou, W. (2019). Assessment of Ecosystem Services Value in a National Park Pilot. Sustainability, 11(23), 6609.","2019","Value equals with the quantity of water supply multiplied by the market price of water. The wetland in Qianjiangyuan national park is the source of freshwater, so S(t) is the water supply of the Qianjiangyuan national park wetland. /// Wetland total area is not mentioned. Could not be retrieved from secondary sources)","For coordinates: https://geohack.toolforge.org/geohack.php?pagename=Qianjiangyuan_National_Forest_Park&params=29_23_25.55_N_118_12_39.72_E_type:landmark_region:CN-33","Yes","Excluded"
"8010001","801","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","","","","","","Supply of water for paddy, vegetable, banana, coconut cultivation. Supply of domestic, livestock and commercial water","2","21; 22; 23","Water","","","","","","","","Biomass provisioning services","Sri Lanka, Democratic Socialist Republic of","LKA","LKA","Sri Lanka, Democratic Socialist Republic of","Asia","Local","Rajangana and Angamauwa subcatchments","No protection","285","ha","285","","","","","","8.12","80.32","RC; PF","","2441","United States Dollar","2003","hectare","year","","","total","","","3701.1102","Vidanage et al","Kala Oya River Basin, Sri Lanka: integrating wetland economic values into river basin management","Vidanage, S., Perera, S., & Kallesoe, M. (2004). Kala Oya River basin, Sri Lanka: Integrating wetland economic values into river basin management. Environmental Economics Programme, IUCN Sri Lanka Country Office, Colombo.","2004","","","","Included"
"7970001","797","Coastal systems; Rivers and lakes","2; 4","Coastal systems"," Rivers and lakes","","Coastal inlets; Rivers and streams","2.3; 4.1","Coastal inlets"," Rivers and streams","","","Riverine estuaries and bays","2.3.2","Riverine estuaries and bays","","","WTP mandatory","2; 18","","Water"," Aesthetic information","","","","","","","Biomass provisioning services","Philippines, Republic of the","PHL","PHL","Philippines, Republic of the","Asia","Local","Iligan Bay.- Oroquieta City","No protection","26393","ha","26393","","","","","","8.434416","123.72109","CV","","1800000","Philippines Peso","2012","total area","year","","","total","","","3.9224","Ureta et al","Oroquieta City Households’ Willingness to Pay for Coastal Biodiversity Conservation","Ureta, J. C. P., Lasco, R. D., Sajise, A. J. U., & Calderon, M. M. (2014). Oroquieta City Households’ Willingness to Pay for Coastal Biodiversity Conservation. Journal of Sustainable Development, 7(5), 82-92.","2014","","","","Included"
"7970002","797","Coastal systems; Rivers and lakes","2; 4","Coastal systems"," Rivers and lakes","","Coastal inlets; Rivers and streams","2.3; 4.1","Coastal inlets"," Rivers and streams","","","Riverine estuaries and bays","2.3.2","Riverine estuaries and bays","","","WTP Volantary","2; 18","","Water"," Aesthetic information","","","","","","","Biomass provisioning services","Philippines, Republic of the","PHL","PHL","Philippines, Republic of the","Asia","Local","Iligan Bay.- Oroquieta City","No protection","26393","ha","26393","","","","","","8.434416","123.72109","CV","","1400000","Philippines Peso","2012","total area","year","","","total","","","3.0508","Ureta et al","Oroquieta City Households’ Willingness to Pay for Coastal Biodiversity Conservation","Ureta, J. C. P., Lasco, R. D., Sajise, A. J. U., & Calderon, M. M. (2014). Oroquieta City Households’ Willingness to Pay for Coastal Biodiversity Conservation. Journal of Sustainable Development, 7(5), 82-92.","2014","","","","Included"
"6980001","698","Rivers and lakes","4","Rivers and lakes","","","Rivers and streams; Freshwater lakes","4.1; 4.2","Rivers and streams"," Freshwater lakes","","","","","","","","Water Supply","2","","Water","","","","","","","","Biomass provisioning services","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Danjiangkou Reservoir","Partially protected","15870","ha","15870","","","","","","32.708909","111.558165","OC","","780000000","China Yuan Renminbi","2000","total area","year","","","total","","","22016.7348","Dong et al","Computing payment for ecosystem services in watersheds: An analysis of the Middle Route Project of South-to-NorthWater Diversion in China","Dong, Z., Yan, Y., Duan, J., Fu, X., Zhou, Q., Huang, X., ... & Zhao, J. (2011). Computing payment for ecosystem services in watersheds: An analysis of the Middle Route Project of South-to-North Water Diversion in China. Journal of Environmental Sciences, 23(12), 2005-2012.","2011","","","","Included"
"6920001","692","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","","","","","","(WTP) for water quality improvements","2","","Water","","","","","","","","Biomass provisioning services","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Lake Tai","Partially protected","233800","ha","233800","","","","","","31.359174","120.231382","CV","Aggregate WTP for all five lakeside cities of Lake Tai","3800000000","China Yuan Renminbi","2007","total area","present value","10","","total","","","0","Zhang","Measuring the value of water quality improvements in Lake Tai, China","Zhang, W. W. (2011). Measuring the value of water quality improvements in Lake Tai, China. Journal of Zhejiang University-Science A, 12(9), 710-719.","2011","","","","Included"
