"ValueId","StudyId","ESVD2.0_Biome","ESVD2.0_Biome_Codes","ESVD2.0_Biome_1","ESVD2.0_Biome_2","ESVD2.0_Biome_3","ESVD2.0_Ecozones","ESVD2.0_Ecozone_Codes","ESVD2.0_Ecozone_1","ESVD2.0_Ecozone_2","ESVD2.0_Ecozone_3","ESVD2.0_Ecozone_4","ESVD2.0_Ecosystems","ESVD2.0_Ecosystem_Codes","ESVD2.0_Ecosystem_1","ESVD2.0_Ecosystem_2","Ecosystem Text","ES_Text","TEEB_ES","TEEB_SubES","ES_1","ES_2","ES_3","ES_4","ES_5","ES_6","ES_7","CICES","SEEA","Countries","Country_Codes","Country_Code_1","Country_1","Continent","Scale Of Site","Study Location","Protection Status","Site Area","Site Area Unit","Site Area In Hectares","Site Length","Site Length Unit","Site Length Km","Site Condition","Ecosystem Condition","Latitude","Longitude","Valuation Methods","Valued Change","Original Value","Currency","Value Year","Spatial Unit","Temporal Unit","Present Value Year","Present Value Discount Rate","Beneficiary Unit","Number Of Beneficiaries","Type Of Beneficiary","Int$ Per Hectare Per Year","Authors","Title","Reference","Year_Pub","Notes","Secondary Data Sources","Reviewed","inclExcl"
"6860004","686","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Small permanent freshwater lakes","4.2.2","Small permanent freshwater lakes","","East Lake (Donghu)","TCM for drinking water (if possible through impovement)","2","21","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","East Lake - Wuhan","No protection","3300","ha","3300","","","","0","","30.558558","114.392013","TC","Increased consumer surplus to drinking water quality","68950000","China Yuan Renminbi","1996","total area","year","","","total","2511000","Visitors","9498.7845","Yaping","The Value of Improved Water Quality for Recreation in East Lake, Wuhan, China","Yaping, D. (1998). Value of improved water quality for recreation in East Lake, Wuhan, China: application of contingent valuation and travel cost methods. EEPSEA research report series/IDRC. Regional Office for Southeast and East Asia, Economy and Environment Program for Southeast Asia.","1998","Drinking water WTP if possible","","Yes","Included"
"6860007","686","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","Small permanent freshwater lakes","4.2.2","Small permanent freshwater lakes","","East Lake (Donghu)","TCM for drinking water (if possible through impovement)","2","21","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","East Lake - Wuhan","No protection","3300","ha","3300","","","","0","","30.558558","114.392013","CV","Total consumer surplus drinking","68950000","China Yuan Renminbi","1996","total area","year","","","total","2511000","Visitors","9498.7845","Yaping","The Value of Improved Water Quality for Recreation in East Lake, Wuhan, China","Yaping, D. (1998). Value of improved water quality for recreation in East Lake, Wuhan, China: application of contingent valuation and travel cost methods. EEPSEA research report series/IDRC. Regional Office for Southeast and East Asia, Economy and Environment Program for Southeast Asia.","1998","Drinking water WTP if possible","","Yes","Included"
"6830001","683","Coastal systems; Inland wetlands; Rivers and lakes","2; 3; 4","Coastal systems"," Inland wetlands"," Rivers and lakes","Coastal inlets; Coastal wetlands and river deltas; Seasonal floodplain marshes; Rivers and streams","2.3; 2.4; 3.3; 4.1","Coastal inlets"," Coastal wetlands and river deltas"," Seasonal floodplain marshes"," Rivers and streams","Riverine estuaries and bays; Coastal salt marshes and reedbeds","2.3.2; 2.4.3","Riverine estuaries and bays"," Coastal salt marshes and reedbeds","","WTP for wetland conservation","1; 2; 3; 16; 17; 18","","Food"," Water"," Raw materials"," Maintenance of life cycles"," Maintenance of genetic diversity"," Aesthetic information","","","Biomass provisioning services","Iran, Islamic Republic of","IRN","IRN","Iran, Islamic Republic of","Asia","Local","Shadegan wetland","Protected","537700","ha","537700","","","","","","30.25","48.5","CV","","79891959509","Iran Rial","2010","total area","year","","","total","","","23.5961","Shamsudin et al","Economic valuation of Shadegan International Wetland, Iran: notes for conservation'","Shamsudin, M. N., Radam, A., Rahim, K. A., Yacob, M. R., Muda, A., & Yazid, M. (2011). Economic valuation of Shadegan International Wetland, Iran: notes for conservation. Regional Environmental Change, 11(4), 925-934.","2011","","","","Included"
"6500001","650","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","","","","","","Drinking water","2","21","Water","","","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Bhoj wetlands (Upper and lower lakes)","Partially protected","3229","ha","3229","","","","","","23.23","77.33","MP","","95413962","India Rupee","2000","total area","year","","","total","","","4050.4052","Verma et al","Economic valuation of Bhoj wetland for sustainable use","Verma, M., Bakshi, N., & Nair, R. P. K. (2001). Economic valuation of Bhoj Wetland for sustainable use. Unpublished project report for World Bank assistance to Government of India, Environmental Management Capacity-Building. Bhopal: Indian Institute of Forest Management, 35.","2001","","","","Included"
"6210005","621","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Marshes and swamps; Seasonal floodplain marshes; Rivers and streams","3.2; 3.3; 4.1","Marshes and swamps"," Seasonal floodplain marshes"," Rivers and streams","","","","","","The Sanyang wetland is classified as a permanent river wetland, according to the Ramsar wetland classification system, or alternately as a riverine perennial marsh according to the U.S. Fish and wildlife System","Provision of water for living and manufacture","2","26","Water","","","","","","","4.2.1.1; 4.2.1.2","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Sanyang wetland, Wenzhou city","No protection","1141","ha","1141","","","","Sanyang wetland, a degraded permanent river wetland","Highly degraded (or intensively managed)","27.98","120.67","MP","Future water production","5695","China Yuan Renminbi","2003","hectare","year","","","total","","","2421.8985","Tong et al","Ecosystem service values and restoration in the urban Sanyang wetland of Wenzhou, China","Tong, C., Feagin, R. A., Lu, J., Zhang, X., Zhu, X., Wang, W., & He, W. (2007). Ecosystem service values and restoration in the urban Sanyang wetland of Wenzhou, China. Ecological engineering, 29(3), 249-258.","2007","","","Yes","Included"
"6210002","621","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Marshes and swamps; Seasonal floodplain marshes; Rivers and streams","3.2; 3.3; 4.1","Marshes and swamps"," Seasonal floodplain marshes"," Rivers and streams","","","","","","The Sanyang wetland is classified as a permanent river wetland, according to the Ramsar wetland classification system, or alternately as a riverine perennial marsh according to the U.S. Fish and wildlife System","Provision of water for living and manufacture","2","26","Water","","","","","","","4.2.1.1; 4.2.1.2","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Sanyang wetland, Wenzhou city","No protection","1141","ha","1141","","","","Sanyang wetland, a degraded permanent river wetland","Highly degraded (or intensively managed)","27.98","120.67","MP","Current water production","1708","China Yuan Renminbi","2003","hectare","year","","","total","","","726.3569","Tong et al","Ecosystem service values and restoration in the urban Sanyang wetland of Wenzhou, China","Tong, C., Feagin, R. A., Lu, J., Zhang, X., Zhu, X., Wang, W., & He, W. (2007). Ecosystem service values and restoration in the urban Sanyang wetland of Wenzhou, China. Ecological engineering, 29(3), 249-258.","2007","","","Yes","Included"
"5620002","562","Rivers and lakes","4","Rivers and lakes","","","Rivers and streams; Freshwater lakes","4.1; 4.2","Rivers and streams"," Freshwater lakes","","","","","","","","Water supply","2","","Water","","","","","","","","Biomass provisioning services","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Ugan-Kuqa River Delta Oasis","Partially protected","26500","ha","26500","","","","","","41.0333333","83.25","PF","","523351150","China Yuan Renminbi","2008","total area","year","","","total","","","6261.1297","Sawut et al","The effects of land-use change on ecosystem service value of desert oasis: a case study in Ugan-Kuqa River Delta Oasis, China","Sawut, M., Eziz, M., & Tiyip, T. (2013). The effects of land-use change on ecosystem service value of desert oasis: a case study in Ugan-Kuqa River Delta Oasis, China. Canadian Journal of Soil Science, 93(1), 99-108.","2012","Value from Waterbody - River; Lake; Reservoir; Bottom land","","","Included"
"5560001","556","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Rivers and streams","3.3; 4.1","Seasonal floodplain marshes"," Rivers and streams","","","","","","","","Lower Downstream Famers WTP for upstream water supply","2; 10","","Water"," Regulation of water flows","","","","","","","Biomass provisioning services","Thailand, Kingdom of","THA","THA","Thailand, Kingdom of","Asia","Local","Mae Sa watershed","No protection","14220","ha","14220","","","","","","18.911866","98.924924","CE","","3288300","Thailand Baht","2008","total area","year","","","total","","","21.8656","Sangkapitux et al","Willingness of upstream and downstream resource managers to engage in compensation schemes for environmental services","Sangkapitux, C., Neef, A., Polkongkaew, W., Pramoon, N., Nonkiti, S., & Nanthasen, K. (2009). Willingness of upstream and downstream resource managers to engage in compensation schemes for environmental services. International Journal of the Commons, 3(1).","2009","","","","Included"
"5440002","544","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Marshes and swamps; Rivers and streams; Freshwater lakes","3.2; 4.1; 4.2","Marshes and swamps"," Rivers and streams"," Freshwater lakes","","","","","","","Farming and animal husbandry on floodplain (Water Supply and Materials)","2; 3","","Water"," Raw materials","","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Bhomra Beel-Lower Gangetic Basin","No protection","12954","ha","12954","","","","","","22.994333","88.642975","MP","","582175","India Rupee","2009","total area","year","","","total","","","3.6615","Roy et al","Socio-economic Valuations of Wetland Based Occupations of Lower Gangetic Basin through Participatory Approach","Roy, M. B., Roy, P. K., Samal, N. R., & Mazumdar, A. (2012). Socio-economic valuations of wetland based occupations of lower gangetic basin through participatory approach. Environment and Natural Resources Research, 2(4), 30.","2012","","","","Included"
"5440004","544","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Marshes and swamps; Rivers and streams; Freshwater lakes","3.2; 4.1; 4.2","Marshes and swamps"," Rivers and streams"," Freshwater lakes","","","","","","","Income from wetland for landless labourers","1; 2; 3","","Food"," Water"," Raw materials","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Bhomra Beel-Lower Gangetic Basin","No protection","12954","ha","12954","","","","","","22.994333","88.642975","FI","","47500","India Rupee","2009","total area","year","","","total","","","0.2987","Roy et al","Socio-economic Valuations of Wetland Based Occupations of Lower Gangetic Basin through Participatory Approach","Roy, M. B., Roy, P. K., Samal, N. R., & Mazumdar, A. (2012). Socio-economic valuations of wetland based occupations of lower gangetic basin through participatory approach. Environment and Natural Resources Research, 2(4), 30.","2012","","","","Included"
"5240001","524","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","","","","","","Economic Return to Water","2","25","Water","","","","","","","","Biomass provisioning services","Sri Lanka, Democratic Socialist Republic of","LKA","LKA","Sri Lanka, Democratic Socialist Republic of","Asia","Local","The Kirindi Oya Irrigation and Settlement Project (KOISP)","Partially protected","19200","ha","19200","","","","","","6.36842","81.214229","FI","","16748","Sri Lanka Rupee","1999","hectare","year","","","total","","","1494.7979","Renwick","Valuing water in a multiple-use system Irrigated agriculture and reservoir fisheries","Renwick, M. E. (2001). Valuing water in a multiple-use system–irrigated agriculture and reservoir fisheries. Irrigation and Drainage Systems, 15(2), 149-171.","2001","","","","Included"
"5150001","515","Rivers and lakes","4","Rivers and lakes","","","Freshwater lakes","4.2","Freshwater lakes","","","","","","","","","Water supply for domestic use and agriculture; fisheries, materials (fodder); fire wood","2; 3","","Water"," Raw materials","","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Varthur Lake (freshwater)","Partially protected","220","ha","220","","","","","","12.95","77.74","MP","","9554000","India Rupee","2011","total area","year","","","total","","","2944.0647","Ramachandra","Ecological and Socio-Economic Assessment of Varthur Wetland, Bengaluru(India).","Ramachandra, T. V., Alakananda, B., Rani, A., & Khan, M. A. (2011). Ecological and Socio-Economic Assessment of Varthur Wetland, Bengaluru(India). Journal of environmental science & engineering, 53(1), 101-108.","2011","","","","Included"
"4480001","448","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Freshwater lakes","3.3; 4.2","Seasonal floodplain marshes"," Freshwater lakes","","","","","","","","Benefit of Wetland Paddy and Jute Cultivation (value of water)","2","","Water","","","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Kalobaur beel (oxe bow lake) - Gangetic flood plain - West Bengal","No protection","40","ha","40","","","","","","23.63006","88.239097","MP","","144552","India Rupee","2008","acre","year","","","total","","","31150.6369","Mukherjee","Economic Valuation of a Wetland in West Bengal, India","Mukherjee, S. (2008). Economic valuation of a wetland in West Bengal, India.","2008","","","","Included"
"4410001","441","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Rivers and streams","3.3; 4.1","Seasonal floodplain marshes"," Rivers and streams","","","","","","","","WTP for conservation of watershed (focussed on water suply and reduced deforestation)","2; 3","","Water"," Raw materials","","","","","","","Biomass provisioning services","Malaysia","MYS","MYS","Malaysia","Asia","Local","Hula Langat","Partially protected","45405","ha","45405","","","","","","3.109444","101.817299","CV","","27761387","Malaysia Ringgit","2011","total area","year","","","total","","","399.5025","Mohamed et al","Willingness to pay for watershed conservation athulu langat, Selangor","Mohamed, N., Shamsudin, M. N., Ghani, A. N. A., Radam, A., Kaffashi, S., Rahim, N. N. R. N. A., & Hassin, N. B. (2012). Willingness to pay for watershed conservation at Hulu Langat, Selangor. Journal of Applied Sciences(Faisalabad), 12(17), 1859-1864.","2012","","","","Included"
"4360002","436","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Rivers and streams","3.3; 4.1","Seasonal floodplain marshes"," Rivers and streams","","","","","","","","Value of water for household use","2","21","Water","","","","","","","","Biomass provisioning services","Indonesia, Republic of","IDN","IDN","Indonesia, Republic of","Asia","Local","Batang Gadis National Park","Protected","10800","ha","10800","","","","","","0.843301","99.38858","MP","","63780467873","Indonesia Rupiah","2006","total area","present value","25","0.1","total","","","289.9053","Midora and Anggraeni","Economic Valuation of watershed services: Batang Gadis National Park","Midora, L., & Anggraeni, D. (2006). Economic Valuation of Watershed Services Batang Gadis National Park, Mandailing Natal, North Sumatra, Indonesia. Conserva-tion International–Indonesia, Jakarta.","2006","","","","Included"
"4360003","436","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Rivers and streams","3.3; 4.1","Seasonal floodplain marshes"," Rivers and streams","","","","","","","","Value of water for irrigation","2","25","Water","","","","","","","","Biomass provisioning services","Indonesia, Republic of","IDN","IDN","Indonesia, Republic of","Asia","Local","Batang Gadis National Park","Protected","10800","ha","10800","","","","","","0.843301","99.38858","MP","","2600000000","Indonesia Rupiah","2006","total area","present value","25","0.1","total","","","11.8179","Midora and Anggraeni","Economic Valuation of watershed services: Batang Gadis National Park","Midora, L., & Anggraeni, D. (2006). Economic Valuation of Watershed Services Batang Gadis National Park, Mandailing Natal, North Sumatra, Indonesia. Conserva-tion International–Indonesia, Jakarta.","2006","","","","Included"
"4220001","422","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Rivers and streams","3.3; 4.1","Seasonal floodplain marshes"," Rivers and streams","","","","","","","","WTP voluntary","2","","Water","","","","","","","","Biomass provisioning services","Philippines, Republic of the","PHL","PHL","Philippines, Republic of the","Asia","Local","Layawan Watershed - Oroquieta City","Partially protected","23788","ha","23788","","","","","","8.466079","123.785821","CV","","353535","Philippines Peso","2012","total area","present value","5","0.06","total","","","0.2029","Manlosa et al","Willingness to Pay for Conserving Layawan Watershed for Domestic Water Supply in Oroquieta City, Philippines","Manlosa, A. O., Briones, N. D., Alcantara, A. J., & Florece, L. M. (2013). Willingness to pay for conserving Layawan watershed for domestic water supply in Oroquieta City, Philippines.","2013","","","","Included"
"4220002","422","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Seasonal floodplain marshes; Rivers and streams","3.3; 4.1","Seasonal floodplain marshes"," Rivers and streams","","","","","","","","WTP pooled (choice)","2","","Water","","","","","","","","Biomass provisioning services","Philippines, Republic of the","PHL","PHL","Philippines, Republic of the","Asia","Local","Layawan Watershed - Oroquieta City","Partially protected","23788","ha","23788","","","","","","8.466079","123.785821","CE","","412458","Philippines Peso","2012","total area","present value","5","0.06","total","","","0.2367","Manlosa et al","Willingness to Pay for Conserving Layawan Watershed for Domestic Water Supply in Oroquieta City, Philippines","Manlosa, A. O., Briones, N. D., Alcantara, A. J., & Florece, L. M. (2013). Willingness to pay for conserving Layawan watershed for domestic water supply in Oroquieta City, Philippines.","2013","","","","Included"
"3970001","397","Inland wetlands; Rivers and lakes","3; 4","Inland wetlands"," Rivers and lakes","","Marshes and swamps; Rivers and streams","3.2; 4.1","Marshes and swamps"," Rivers and streams","","","","","","","","Water Supply","2","21; 25","Water","","","","","","","4.2.1.1","Water supply","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Napahai Wetland","Protected","3125","ha","3125","","","","","","27.824338","99.646061","MP","","980000","China Yuan Renminbi","2008","total area","year","","","total","","","99.4218","Li et al","Prioritizing protection measures through ecosystem services valuation for the NapahaiWetland, Shangri-La County, Yunnan Province, China","Li, Y., Deng, H., & Dong, R. (2015). Prioritizing protection measures through ecosystem services valuation for the Napahai wetland, Shangri-La County, Yunnan Province, China. International Journal of Sustainable Development & World Ecology, 22(2), 142-150.","2015","","","","Included"
"3480001","348","Coastal systems; Inland wetlands; Rivers and lakes","2; 3; 4","Coastal systems"," Inland wetlands"," Rivers and lakes","Coastal inlets; Coastal wetlands and river deltas; Seasonal floodplain marshes; Rivers and streams","2.3; 2.4; 3.3; 4.1","Coastal inlets"," Coastal wetlands and river deltas"," Seasonal floodplain marshes"," Rivers and streams","Riverine estuaries and bays; Coastal salt marshes and reedbeds","2.3.2; 2.4.3","Riverine estuaries and bays"," Coastal salt marshes and reedbeds","","WTP for wetland conservation","2; 11; 17; 18","","Water"," Waste treatment"," Maintenance of genetic diversity"," Aesthetic information","","","","","Biomass provisioning services","Iran, Islamic Republic of","IRN","IRN","Iran, Islamic Republic of","Asia","Local","Shadegan wetland","Protected","537700","ha","537700","","","","","","30.25","48.5","CV","","1486848","United States Dollar","2009","total area","year","","","total","","","3.4442","Kaffashi et al","We are willing to pay to support wetland conservation: local users’ perspective","Kaffashi, S., Shamsudin, M. N., Radam, A., Rahim, K. A., & Yacob, M. R. (2013). We are willing to pay to support wetland conservation: local users’ perspective. International Journal of Sustainable Development & World Ecology, 20(4), 325-335.","2013","Natural scenery, Biodiversity, Water quality,Moderately,acceptable,Ecological functions","","","Included"
"3250001","325","Rivers and lakes","4","Rivers and lakes","","","Rivers and streams","4.1","Rivers and streams","","","","","","","","","WTP for water resources","2; 11","","Water"," Waste treatment","","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Pune City","No protection","17000","ha","17000","","","","","","18.531455","73.859948","CV","","492676","India Rupee","2005","total area","year","","","total","","","3.1994","Imandoust","Are people willing to pay for river water quality, contingent valuation","Imandoust, S. B. (2011). Economical Valuation of River Services (Contingent Valuation and Cost-Bene?t Approach). Journal ofEconomic Theory, 5(3), 58-63.","2007","The Mula, Mutha and Pavana rivers, flowing through the Pune City and Pmpri-Chinchwad industrial area, are grossly polluted with untreated domestic sewage and partially untreated industrial waste.","","","Included"
"2880001","288","Rivers and lakes","4","Rivers and lakes","","","Rivers and streams; Freshwater lakes","4.1; 4.2","Rivers and streams"," Freshwater lakes","","","","","","","","WTP for nation park","2; 17; 18","","Water"," Maintenance of genetic diversity"," Aesthetic information","","","","","","Biomass provisioning services","India, Republic of","IND","IND","India, Republic of","Asia","Local","Borivli National Park","Protected","10309","ha","10309","","","","","","19.224242","72.910926","CV","","248000000","India Rupee","1996","total area","year","","","total","","","4051.1745","Hadker et al","Willingness-to-pay for Borivli National Park: evidence from a Contingent Valuation","Hadker, N., Sharma, S., David, A., & Muraleedharan, T. R. (1997). Willingness-to-pay for Borivli National Park: evidence from a contingent valuation. Ecological economics, 21(2), 105-122.","1997","","","","Included"
"2480004","248","Rivers and lakes","4","Rivers and lakes","","","Rivers and streams","4.1","Rivers and streams","","","","","","","","","Water Resources","2","25","Water","","","","","","","4.2.1.2","Biomass provisioning services","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Chinese Sturgeon Natural Reserve","Protected","8000","ha","8000","","","","","","30.27945","111.2726078","MP","","5540000","United States Dollar","2011","total area","year","","","total","","","855.2693","Gan et al","Evaluation of the ecosystem values of aquatic wildlife reserves: a case of Chinese Sturgeon Natural Reserve in Yichang reaches of the Yangtze river","Gan, F., Du, H., Wei, Q., & Fan, E. (2011). Evaluation of the ecosystem values of aquatic wildlife reserves: a case of Chinese Sturgeon Natural Reserve in Yichang reaches of the Yangtze river. Journal of applied ichthyology, 27(2), 376-382.","2011","","","","Included"
"1860001","186","Rivers and lakes","4","Rivers and lakes","","","Rivers and streams","4.1","Rivers and streams","","","","","","","","","Maintain water Quality","2","","Water","","","","","","","","Biomass provisioning services","China, People's Republic of","CHN","CHN","China, People's Republic of","Asia","Local","Nan Sha He river","No protection","45000","ha","45000","","","","","","40.347778","116.808333","CV","","96984000","United States Dollar","1996","total area","year","","","total","","","3819.6516","Day and Mourato","Willingness to pay for water quality maintenance in Chinese rivers","Day, B., & Mourato, S. (1998). Willingness to pay for water quality maintenance in Chinese rivers. Centre For Social And Economic Research On The Global Environment.","1998","","","","Included"
