Biological value,,,,,,,
,,,,,,,
Biological value,Present,Future,,,,,
Biologically less valuable,99.0267639903,0,,,,,
A complex of biologically less valuable and valuable elements,0,0,,,,,
"A complex of biologically less valuable, valuable and very valuable elements",0,0,,,,,
A complex of biologically less valuable and very valuable elements,0,0,,,,,
Biologically valuable,0.9732360097,0,,,,,
A complex of biologically valuable and very valuable elements,0,100,,,,,
Biologically very valuable,0,0,,,,,
,,,,,,,
Rareness,Present,Future,,,,,
Common,99.0267639903,0,,,,,
Quite rare,0.9732360097,0,,,,,
Rare,0,100,,,,,
Biologically very to extremely rare,0,0,,,,,
,,,,,,,
Biological quality,Present,Future,,,,,
Low quality,99.0267639903,0,,,,,
High quality,0.9732360097,100,,,,,
Very high quality,0,0,,,,,
,,,,,,,
Vulnerability,Present,Future,,,,,
Less vulnerable,100,100,,,,,
Vulnerable,0,0,,,,,
Very vulnerable,0,0,,,,,
,,,,,,,
Replaceability,Present,Future,,,,,
To some extent replaceable,100,100,,,,,
Less replaceable,0,0,,,,,
,0,0,,,,,