Numbers used in the tool,,,,,,,
,,,,,,,
Global climate regulation - Carbon sequestration in soils,,,,,,,
,,,,,,,
Name location,Lakes and large ponds2,,,,,,
,,,,,,,
Soil texture,Sand (%),Loam (%),Clay (%),,,,
S - loamsand (20% loam),75,20,5,,,,
L - sandloam (60% loam),30,60,10,,,,
A - loam (85% loam),5,85,10,,,,
,,,,,,,
Lower limit (tonne C/ha.year),Score,,,,,,
,,,,,,,
Carbon,Low,100,High,366,Euro/tonne,,
Yearly sequestration rate,2.5,%,,,,,
Coniferous forests,35,tonne/ha,,,,,
Deciduous forests,10,tonne/ha,,,,,
Mixed forests,20,tonne/ha,,,,,
,,,,,,,
Formulas,Example in manual,,,,,,
,"When clicking the link above does not work, please copy the following URL to your browser.",,,,,,
,http://download/manual/manual_en.html#csequestrationsoil_ex,,,,,,