Results,,,,,,,,,,
,,,,,,,,,,
"Qualitative valuation (score 1 (not important) - 10 (important), score -1 (negative effect))",Present,Future,Difference,,,,,,,
Global climate regulation - Carbon sequestration in biomass,1.0,8.0,7.0,,,,,,,
,,,,,,,,,,
Quantitative valuation,Unit,Present,,Future,,Difference,,,,
,,Low,High,Low,High,Low,High,,,
Global climate regulation - Carbon sequestration in biomass,tonnes C / year,0.0,0.0,9.7,9.7,9.7,9.7,,,
,,,,,,,,,,
Monetary valuation,Unit,Difference future - present,,,,,,,,
,,Low,High,,,,,,,
Global climate regulation - Carbon sequestration in biomass,€ / year,975,3568,,,,,,,
Total,€ / year,975,3568,,,,,,,